"Estación","Departamento","Municipio","Lat.","Long","Elevación (m.s.n.m)","Clima predominante en el Año","Ene","Feb","Mar","Abr","May","Jun","Jul","Ago","Sep","Oct","Nov","Dic"
"Aeropuerto Vásquez Cobo","Amazonas","Leticia","-4.15","-69.95","84","CH","CH","CH","CH","CH","CH","CSh","CSh","CSa","CSh","CSh","CH","CH"
"Aeropuerto Olaya Herrera","Antioquia","Medellín","6.22","-75.6","1,490","TSh","TA","TA","TSa","TSh","TSh","TSh","TSa","TSa","TSh","TSh","TSh","TSa"
"Aeropuerto Santiago Pérez","Arauca","Arauca","7.07","-70.73","128","CSh","CD","CD","CA","CSa","CH","CH","CH","CSh","CSh","CSh","CSa","CD"
"Aeropuerto Ernesto Cortissoz","Atlántico","Soledad","11.03","-74.78","14","CA","CD","CD","CD","CD","CSa","CA","CA","CA","CSa","CSa","CA","CD"
"Aeropuerto Rafael Núñez","Bolívar","Cartagena","10.45","-75.52","2","CA","CD","CD","CD","CD","CSa","CA","CSa","CSa","CSa","CSh","CSh","CD"
"U P T C","Boyacá","Tunja","5.57","-73.37","2,690","FSa","FD","FA","FSa","FSh","FSh","FA","FSa","FA","FA","FSa","FSa","FA"
"Aeropuerto La Nubia","Caldas","Manizales","5.03","-75.47","2,104","FSh","FSa","FSa","FSh","FH","FSh","FSa","FA","FSa","FSh","FH","FH","FSh"
"Aeropuerto Gustavo Artunduaga","Caquetá","Florencia","1.6","-75.53","244","CH","CA","CSh","CH","CSHm","CSHm","CSHm","CSHm","CH","CH","CSh","CSh","CSa"
"Aeropuerto Yopal (El Alcaraván)","Casanare","Yopal","5.33","-72.4","325","CSh","CD","CD","CSa","CSh","CH","CH","CH","CH","CSh","CSh","CSa","CD"
"Aeropuerto Guillermo León Valencia","Cauca","Popayán","2.45","-76.61","1,752","TH","TH","TSh","TH","TH","TSh","TA","TA","TD","TSa","TH","TSHm","TH"
"Aeropuerto Alfonso López","Cesar","Valledupar","10.43","-73.25","138","CA","CD","CD","CD","CA","CSh","CA","CA","CA","CSa","CSh","CSa","CD"
"Aeropuerto El Caraño","Choco","Quibdó","5.72","-76.62","75","CSHm","CSHm","CSHm","CSHm","CSHm","CSHm","CSHm","CSHm","CSHm","CSHm","CSHm","CSHm","CSHm"
"Universidad de Córdoba","Córdoba","Montería","8.82","-75.85","15","CSa","CD","CD","CD","CA","CSh","CSa","CSa","CSh","CSh","CSa","CSa","CD"
"Aeropuerto El Dorado","Cundinamarca","Bogotá","4.72","-74.15","2,547","FSh","FA","FA","FSa","FSh","FSh","FSa","FA","FA","FSa","FSh","FSh","FSa"
"Puerto Inírida","Guainía","Inírida","3.83","-67.92","100","CH","CA","CSa","CSa","CH","CSHm","CSHm","CSHm","CSHm","CH","CSh","CSh","CSh"
"San José del Guaviare","Guaviare","San José del Guaviare","2.55","-72.65","165","CH","CD","CA","CSh","CH","CH","CH","CH","CH","CSh","CH","CSHm","CSa"
"Aeropuerto Benito Salas","Huila","Neiva","2.97","-75.3","439","CSa","CA","CSa","CSa","CSa","CA","CD","CD","CD","CD","CSa","CSh","CSa"
"Aeropuerto Almirante Padilla","La Guajira","Riohacha","11.53","-72.93","4","CA","CD","CD","CD","CD","CA","CD","CD","CD","CSa","CSa","CA","CD"
"Aeropuerto Simón Bolívar","Magdalena","Santa Marta","11.13","-74.23","4","CD","CD","CD","CD","CD","CD","CA","CA","CA","CA","CSa","CA","CD"
"Aeropuerto Vanguardia","Meta","Villavicencio","4.17","-73.62","423","CSHm","CA","CA","CSh","CSHm","CSHm","CSHm","CSHm","CH","CH","CSHm","CSHm","CSh"
"Aeropuerto Antonio Nariño","Nariño","Chachagüí","1.42","-77.27","1,796","TSh","TSa","TSa","TSh","TSh","TSh","TA","TD","TD","TA","TSh","TSh","TSh"
"Obonuco","Nariño","Pasto","1.2","-77.3","2,710","FSh","FSa","FSa","FSh","FSh","FSh","FA","FA","FD","FA","FSh","FSh","FSh"
"Aeropuerto Camilo Daza","Norte de Santander","Cúcuta","7.93","-72.52","250","CA","CA","CD","CA","CA","CA","CD","CD","CD","CA","CSa","CSa","CA"
